1	uart_0	AmbitV003	DEVICE_INFO	get_info	1783594680438	1783594680438		{"device_id":"3C:DC:75:0E:02:E8","fw":"0.0.6","cal_version":"7d4cef1f","mlx_coef":[5831536,78496400,0,6400,4906025,5831536,30429396,-50165220,-37108520,16384,0,10752,10752,38265441],"adpd":[0,0,0,0,0,0],"temp_offset":0.0000,"temp_slope":1.0000,"actinic_coef":0.100000,"spec_coef":1.000000,"act":[5,4,3,2,1],"mlx_emissivity":1.0000,"sun_coef":1.000000,"tick_factor":0.854000
2			STATUS		1783594680712	1783594680712		{"wifi":true,"provisioned":true,"db_online":true,"publish_gate":false,"battery_v":4.200,"input_v":4.980,"system_v":4.240,"input_ma":651,"charge_ma":630,"input_present":true,"charge_status":2,"temperature":26.62,"humidity":44.52,"pressure":101997.3}
3	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594680449	1783594689069	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.93],"fluo":[0.10281,0.09255,0.09171,0.09528,0.09699,0.09669,0.09608,0.09539,0.09847],"s_630":[564,586,592,589,590,588,584,580,600],"r_630":[5486,6332,6455,6182,6083,6081,6078,6080,6093],"sun":[900,703,669,669,664,672,670,668,669],"leaf":[155,317,325,331,335,337,336,337,336],"timing":[15376224,22403315]}
4	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594690096	1783594698694	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.89],"fluo":[0.09870,0.09714,0.09778,0.09855,0.09648,0.02975,0.02908,0.03058,0.03445],"s_630":[601,591,595,600,586,177,173,182,205],"r_630":[6089,6084,6085,6088,6074,5950,5949,5951,5950],"sun":[668,673,675,677,633,623,619,626,629],"leaf":[341,337,336,338,332,343,342,347,346],"timing":[25015053,32044178]}
5	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594699725	1783594708319	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[24.55],"fluo":[0.02958,0.02923,0.02908,0.02958,0.02908,0.02909,0.02975,0.03261,0.02992],"s_630":[176,174,173,176,173,173,177,194,178],"r_630":[5949,5952,5949,5949,5950,5948,5950,5949,5950],"sun":[625,622,620,623,642,636,664,662,659],"leaf":[355,344,347,350,359,352,358,358,352],"timing":[34645369,41677169]}
6	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594710355	1783594718961	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.67],"fluo":[0.03025,0.02975,0.02907,0.02925,0.02943,0.02891,0.02907,0.03009,0.02807],"s_630":[180,177,173,174,175,172,173,179,167],"r_630":[5950,5950,5951,5949,5947,5949,5951,5948,5949],"sun":[657,652,659,659,655,655,655,655,658],"leaf":[358,358,359,359,364,363,356,358,363],"timing":[45287084,52317738]}
7	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594719995	1783594728595	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.57],"fluo":[0.02991,0.02924,0.03008,0.03008,0.02941,0.02889,0.02941,0.02974,0.02990],"s_630":[178,174,179,179,175,172,175,177,178],"r_630":[5951,5951,5951,5951,5951,5953,5950,5952,5953],"sun":[662,656,657,658,656,660,658,659,661],"leaf":[357,360,360,362,359,357,362,360,361],"timing":[54939191,61966221]}
8	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594729625	1783594738219	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.48],"fluo":[0.02991,0.02924,0.02924,0.02942,0.02907,0.02940,0.02924,0.02907,0.03041],"s_630":[178,174,174,175,173,175,174,173,181],"r_630":[5952,5951,5950,5949,5951,5952,5951,5952,5952],"sun":[653,655,658,657,654,658,661,662,665],"leaf":[361,360,357,358,362,361,358,358,363],"timing":[64567391,71595413]}
9	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594740255	1783594748862	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[25.24],"fluo":[0.03024,0.02973,0.02906,0.02924,0.02956,0.02873,0.02857,0.02907,0.02940],"s_630":[180,177,173,174,176,171,170,173,175],"r_630":[5952,5953,5953,5950,5953,5952,5950,5951,5953],"sun":[639,639,636,646,637,650,634,637,635],"leaf":[371,372,370,367,367,367,391,391,389],"timing":[75205083,82235759]}
10	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594749895	1783594758497	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.68],"fluo":[0.02991,0.02889,0.03074,0.03007,0.02923,0.02907,0.02908,0.02907,0.02940],"s_630":[178,172,183,179,174,173,173,173,175],"r_630":[5952,5953,5953,5952,5953,5951,5950,5952,5952],"sun":[639,637,631,634,635,639,642,629,633],"leaf":[360,366,336,336,339,347,349,350,353],"timing":[84858194,91868662]}
11	uart_0	AmbitV003	MEASUREMENT	arrun 1,0,2,0,0,9,0,1,0,1	1783594759525	1783594768131	{"segments":[{"pulses":9,"freq":1,"actinic":0}],"cal_version":"7d4cef1f"}	{"env":[23.38],"fluo":[0.02924,0.02923,0.02973,0.02940,0.02974,0.02991,0.03024,0.02923,0.02672],"s_630":[174,174,177,175,177,178,180,174,159],"r_630":[5950,5952,5954,5953,5951,5952,5952,5953,5950],"sun":[640,644,640,642,638,640,646,641,639],"leaf":[368,365,366,363,368,368,363,369,366],"timing":[94490212,101498524]}
